pt_date,pt_count,pt_mcode,pt_ecode1,prod_eff
2018-01-01,1.2,SX-08,82,86.44523087311592
2018-01-01,0.12,CD-01,101,107.36073796210877
2018-01-01,0.12,CD-13,1055,97.88889562553331
2018-01-01,0.13,COM-11,161,109.0899569134995
2018-01-01,1.2,SX-09,82,84.09572829414483
2018-01-01,0.12,CD-21,1062,107.74343234039051
2018-01-01,0.13,FDF-01,1083,103.17294420447662
2018-01-01,0.12,CD-21,1066,111.58195108429669
2018-01-01,1.2,SX-12,1071,112.78773737420231
2018-01-01,1.2,SX-13,1071,98.42466785498087
2018-01-01,0.12,BDF-01,1054,89.88098804991913
2018-01-01,1.4,SX-01,68,0.0
2018-01-01,0.13,COM-15,161,107.40618413776173
2018-01-01,0.12,CD-10,104,111.89476277935863
2018-01-01,0.13,FDF-07,1071,98.02213335180862
2018-01-01,0.13,COM-19,183,97.27714870510924
2018-01-01,1.2,SX-12,86,114.97033581944405
2018-01-01,0.12,CD-06,103,113.5267773675562
2018-01-01,1.4,SX-02,1071,88.0473853695141
2018-01-01,0.12,CD-05,103,112.41052892627935
2018-01-01,0.13,FDF-05,1054,100.1469167813807
2018-01-01,1.2,SX-09,161,86.60081522199566
2018-01-01,0.13,COM-08,183,93.0265706934359
2018-01-01,1.2,SX-14,1066,97.28435210257166
2018-01-01,0.12,CD-02,104,112.49015886951393
2018-01-01,0.13,COM-18,182,104.7822287956585
2018-01-01,0.12,BDF-01,1083,89.92176362797339
2018-01-01,0.13,FDF-04,143,99.91466659893163
2018-01-01,0.12,CD-14,105,110.48478796819644
2018-01-01,1.2,SX-15,86,91.72237319147793
2018-01-01,0.13,COM-05,162,90.15053746529594
2018-01-01,0.13,COM-03,162,168.34676305712634
2018-01-01,1.2,SX-12,1065,115.58621503486047
2018-01-01,0.13,COM-11,182,109.10557239178564
2018-01-01,1.2,SX-14,86,98.41498907238301
2018-01-01,0.12,CD-11,1054,112.85119721715529
2018-01-01,0.13,FDF-02,105,100.01407657040748
2018-01-01,0.13,COM-16,145,108.1188945035885
2018-01-01,0.13,COM-19,145,97.73665724617938
2018-01-01,0.12,CD-08,103,113.28131864623545
2018-01-01,0.12,CD-20,1065,114.63692950223512
2018-01-01,0.13,COM-04,183,88.01035886074284
2018-01-01,0.12,CD-06,104,112.57905663737681
2018-01-01,0.13,COM-12,182,112.11182951908171
2018-01-01,0.12,BDF-02,1083,99.97077976535006
2018-01-01,1.2,SX-14,1071,99.29324489127322
2018-01-01,0.13,COM-08,143,92.3210121972852
2018-01-01,1.2,SX-10,161,89.31293911643667
2018-01-01,0.12,CD-22,250,114.12516968175177
2018-01-01,0.12,CD-16,105,112.36247538331553
2018-01-01,0.12,CD-24,245,144.638751530966
2018-01-01,0.12,CD-05,101,112.22706976141373
2018-01-01,0.13,COM-06,143,101.1605779997602
2018-01-01,0.12,BDF-03,162,75.8313282017163
2018-01-01,0.12,CD-07,104,114.03472390982809
2018-01-01,0.13,COM-06,162,108.03888236578078
2018-01-01,0.12,CD-10,103,111.3001794624692
2018-01-01,1.4,SX-05,68,82.94161104961155
2018-01-01,0.12,CD-23,1065,111.34650252711491
2018-01-01,0.12,BDF-02,105,100.8435487178208
2018-01-01,0.13,COM-14,182,106.50347400166183
2018-01-01,0.13,COM-07,143,105.93423344435128
2018-01-01,0.13,COM-03,183,165.88214855823264
2018-01-01,0.12,CD-18,165,111.92599545635595
2018-01-01,0.12,CD-22,1065,113.1537856536582
2018-01-01,0.13,COM-02,162,166.4601055658554
2018-01-01,1.4,SX-02,1055,88.47245446844015
2018-01-01,0.13,COM-04,162,87.77972562388197
2018-01-01,1.4,SX-06,143,86.55086077538309
2018-01-01,0.13,FDF-01,1066,104.78686738475577
2018-01-01,0.12,CD-24,1055,153.37406764179994
2018-01-01,1.4,SX-01,1055,90.88389921633316
2018-01-01,0.12,CD-03,104,114.7985295523996
2018-01-01,0.12,CD-12,105,0.0
2018-01-01,0.13,COM-19,182,92.70267323412588
2018-01-01,1.2,SX-11,86,89.04576223797234
2018-01-01,1.4,SX-07,82,89.82459429410852
2018-01-01,0.13,COM-13,145,96.94870726457006
2018-01-01,0.13,COM-11,145,106.85669490932482
2018-01-01,1.4,SX-05,1062,82.39409633273172
2018-01-01,1.2,SX-10,82,89.28801114936601
2018-01-01,0.12,CD-15,105,113.80805149210065
2018-01-01,0.12,CD-07,101,81.09042108232526
2018-01-01,0.12,CD-20,1062,113.68695977033764
2018-01-01,0.12,CD-09,103,111.16320493760787
2018-01-01,0.12,CD-04,101,113.19352350917029
2018-01-01,0.13,COM-10,143,111.03324623657299
2018-01-01,1.4,SX-07,1066,92.28405341263624
2018-01-01,0.13,COM-15,145,107.58214895224629
2018-01-01,0.12,CD-08,101,111.05809243283159
2018-01-01,0.12,CD-11,105,112.8763190320516
2018-01-01,0.13,COM-01,143,91.64794082953176
2018-01-01,1.4,SX-04,1065,91.10140496590368
2018-01-01,0.13,COM-16,182,108.28506238762678
2018-01-01,0.12,CD-02,103,114.34687312312674
2018-01-01,0.12,CD-17,1062,116.70208866393335
2018-01-01,0.12,CD-16,1054,111.82655341351702
2018-01-01,0.12,CD-26,182,108.14980971095673
2018-01-01,0.13,FDF-07,143,97.33226742424007
2018-01-01,0.13,COM-18,145,105.8147044807129
2018-01-01,0.13,COM-10,162,108.65253968528015
2018-01-01,0.13,FDF-03,1066,0.04364705832652608
2018-01-01,0.12,CD-23,1054,111.41120649932093
2018-01-01,1.4,SX-04,1062,89.41782042023206
2018-01-01,0.12,CD-26,240,112.30921171696087
2018-01-01,0.13,COM-03,143,164.05449905640018
2018-01-01,0.13,COM-14,145,105.72991330329901
2018-01-01,0.12,CD-09,101,112.12821748903994
2018-01-01,0.12,CD-14,1054,112.94378871613972
2018-01-01,0.13,COM-07,183,104.95890961101514
2018-01-01,0.12,CD-25,1066,108.97525970310345
2018-01-01,1.4,SX-04,68,92.08763050108335
2018-01-01,0.12,CD-23,245,113.10431461800856
2018-01-01,0.12,CD-17,146,118.3026429827667
2018-01-01,0.12,CD-07,103,113.84477695060144
2018-01-01,0.13,COM-01,183,96.35141237090956
2018-01-01,0.12,CD-06,101,114.74009021344459
2018-01-01,0.12,CD-18,165,112.32199941829529
2018-01-01,0.12,CD-09,104,110.82803951598
2018-01-01,0.13,COM-15,182,107.41857262310197
2018-01-01,0.13,COM-02,143,171.21432294808085
2018-01-01,0.13,COM-08,162,91.90714017405031
2018-01-01,0.13,COM-09,162,97.18412872100771
2018-01-01,0.12,CD-01,103,98.55947908230122
2018-01-01,1.2,SX-09,1066,86.64446864431667
2018-01-01,0.13,FDF-07,1054,100.91739568453876
2018-01-01,0.12,CD-19,146,112.76528865852836
2018-01-01,1.4,SX-07,146,89.7642039667836
2018-01-01,0.12,CD-08,104,114.25121207357668
2018-01-01,0.13,COM-17,145,104.15624437163872
2018-01-01,0.12,CD-13,105,94.73441709159077
2018-01-01,0.12,CD-10,101,111.69609861232657
2018-01-01,0.13,COM-05,143,91.54041737442252
2018-01-01,1.2,SX-08,1071,86.11161946383525
2018-01-01,0.13,COM-01,162,97.15993426839131
2018-01-01,0.13,COM-04,143,88.0237885725782
2018-01-01,1.2,SX-15,1071,89.97601464249415
2018-01-01,1.4,SX-03,68,84.2337457774519
2018-01-01,0.12,BDF-02,146,100.27509087843288
